name,type,etc,etc2,longitude,latitude,joindate,outdate
산악구조신고안내,안내판,228747.24,610827.48,127.3277284,38.09709014,12/21/2015 05:23:00 PM,
안내판,안내판,228796.54,610824.14,127.3282903,38.09705848,12/22/2015 04:31:00 PM,01/01/2016 05:38:23 PM
산악구조신고안내,안내판,229705.95,610742.76,127.3386544,38.09629591,12/29/2015 07:21:00 AM,
산악구조신고안내,안내판,229779.49,610987.39,127.3395029,38.09849736,12/21/2015 02:55:45 PM,
산악구조신고안내,안내판,229811.43,611375.14,127.3398832,38.10198954,12/28/2015 05:39:00 PM,
안내판,안내판,197944.25,536272.94,126.9767746,37.42583378,12/31/2015 08:14:48 AM,
안내지도,안내판,198725.66,537156.04,126.9856012,37.43379207,01/04/2016 12:19:00 PM,
안내판,안내판,198648.45,537229.41,126.9847287,37.43445303,12/21/2015 05:52:00 AM,
안내판,안내판,198340.42,537417.19,126.9812478,37.43614446,12/23/2015 12:21:48 PM,
안내판,안내판,198254.81,537538.69,126.9802802,37.43723904,12/21/2015 04:32:00 PM,
등산지도,안내판,198164.56,537684.29,126.9792601,37.43855074,01/02/2016 07:45:16 AM,
안내판,안내판,197298.03,538199.1,126.9694666,37.44318713,12/26/2015 10:21:40 AM,
안내판,안내판,197289.33,538169.35,126.9693684,37.44291906,01/01/2016 08:10:11 PM,
현황판,안내판,197007.03,538022.97,126.9661789,37.44159928,12/27/2015 10:16:00 AM,
안내판,안내판,196932.09,538025.16,126.9653321,37.44161877,01/02/2016 07:46:17 AM,
이정표,안내판,196933.72,538128.22,126.9653501,37.44254736,01/04/2016 01:51:00 PM,
경고문,안내판,196992.41,537938.57,126.9660141,37.44083878,12/31/2015 02:02:00 PM,
안내판,안내판,196980.91,538280.41,126.9658827,37.44391877,12/30/2015 04:04:00 PM,01/01/2016 05:38:23 PM
안내판,안내판,196968.64,538251.51,126.9657442,37.44365834,12/31/2015 02:57:17 PM,
등산지도,안내판,197915.08,536195.25,126.9764452,37.42513372,01/04/2016 04:14:25 PM,
안내판,안내판,197927.33,536212.44,126.9765836,37.42528863,12/30/2015 08:11:42 AM,
안내판,안내판,198840.81,537109.5,126.9869024,37.43337289,12/28/2015 07:54:42 AM,01/04/2016 12:03:00 PM
안내문판,안내판,197934.06,536247.32,126.9766595,37.42560292,12/30/2015 03:01:35 PM,
할매쉼터,쉼터,221268.68,547164.28,127.2406027,37.52372305,01/03/2016 12:59:03 PM,
나무의자,쉼터,221600.68,548099.31,127.2443859,37.5321399,01/04/2016 11:47:00 AM,
안내판,안내판,221022.02,547525.47,127.2378227,37.526983,12/29/2015 07:38:48 PM,
안내판,안내판,221081.67,547426.62,127.2384946,37.52609101,01/05/2016 10:54:31 AM,
안내판,안내판,221443.35,546991.81,127.2425736,37.52216506,12/28/2015 07:05:00 AM,
안내판,안내판,221663.27,546660.4,127.2450516,37.51917394,12/30/2015 09:05:00 AM,
안내판,안내판,221784.77,546544.62,127.2464225,37.51812791,01/04/2016 12:03:00 PM,
안내판,안내판,220874.6,547762.28,127.2361616,37.52911999,12/30/2015 01:56:03 PM,
안내판,안내판,221627.48,547988.4,127.2446858,37.53113998,01/05/2016 11:55:00 AM,
이정표,안내판,221816.78,547729.84,127.2468198,37.52880592,12/23/2015 08:25:00 AM,
안내판,안내판,221936.59,546977.31,127.2481528,37.52202283,12/24/2015 09:32:31 AM,
안내판,안내판,221783.34,545774.12,127.2463835,37.51118577,12/30/2015 09:10:00 AM,
안내판,안내판,221280.9,544964.15,127.2406772,37.50389968,12/28/2015 09:08:44 AM,
안내판,안내판,221821.73,545188.43,127.2468004,37.50590782,01/05/2016 12:22:00 PM,
안내판,안내판,222245.68,546526.75,127.2516356,37.51795591,01/05/2016 09:08:00 AM,
안내판,안내판,222863.79,546794.78,127.2586357,37.52035574,01/05/2016 10:21:41 AM,
안내판,안내판,223318.15,547123.46,127.2637858,37.52330576,01/01/2016 08:07:00 PM,
안내판,안내판,223189.96,547123,127.2623357,37.52330484,12/23/2015 11:58:14 AM,
안내판,안내판,224199.74,545936.59,127.2737196,37.51258945,12/24/2015 06:20:04 AM,
현황판,안내판,222499.18,545888.68,127.2544836,37.51220079,12/22/2015 09:39:15 AM,01/04/2016 12:03:00 PM
안내도,안내판,220275.15,548591.69,127.2294028,37.53660629,12/23/2015 01:06:00 PM,
안내판,안내판,220903.26,547688,127.2364838,37.52845009,12/30/2015 08:59:00 AM,
안내판,안내판,221529.37,546989.68,127.2435466,37.52214387,12/26/2015 10:06:00 AM,
안내판,안내판,222007.26,546422.87,127.2489356,37.51702567,12/29/2015 09:26:00 AM,
표지판,안내판,220305.7,548604.28,127.2297488,37.53671906,12/22/2015 02:14:24 PM,
안내도,안내판,221573.54,548135,127.2440799,37.5324621,12/27/2015 05:05:08 PM,
안내도,안내판,221669.79,547898.06,127.2451618,37.53032503,12/24/2015 08:08:21 AM,
안내판,안내판,221840.48,547659.65,127.2470858,37.52817295,12/26/2015 06:34:00 PM,
안내판,안내판,222001.63,547452.84,127.2489027,37.52630578,12/23/2015 12:45:59 PM,
안내도,안내판,221962.87,547370.4,127.2484618,37.52556392,12/28/2015 03:10:37 PM,
안내도,안내판,221938.73,546729.47,127.2481696,37.51978975,12/23/2015 03:01:00 PM,
안내판,안내판,221990.65,546587.09,127.2487526,37.51850568,12/30/2015 12:54:59 PM,
안내도,안내판,220519.21,544831.53,127.2320592,37.50272202,12/29/2015 09:00:58 PM,
안내판,안내판,221579.98,545056.28,127.2440624,37.50472283,12/25/2015 09:55:54 AM,
안내판,안내판,221618.59,545067.15,127.2444993,37.50481987,12/30/2015 10:45:59 AM,01/04/2016 12:03:00 PM
안내판,안내판,221829.46,545680.34,127.2469024,37.51033973,12/31/2015 11:38:39 AM,
안내판,안내판,221838.29,546025.78,127.2470125,37.51345192,12/20/2015 09:29:21 PM,
안내도,안내판,223578.67,547306.43,127.2667388,37.52494769,12/30/2015 08:37:00 AM,
안내판,안내판,222470.74,546664.31,127.2541856,37.51918987,12/31/2015 04:47:00 PM,
